focal GCF	assocaited GCF/OG	allele frequency	direction	frequency in samples with focal GCF	frequency in samples with focal GCF	pvalue	phylgoenetically corrected pvalue	beta	beta-std-err	variant_h2	notes	annotation notes	KO Annotation (E-value)	PGAP Annotation (E-value)	PaperBLAST Annotation (E-value)	CARD Annotation (E-value)	IS Finder (E-value)	MI-BiG Annotation (E-value)	VOG Annotation (E-value)	VFDB Annotation (E-value)	Pfam Domains
GCF_45	OG0007579	1.35E-01	positive	0.3333333333333333	0.11347517730496454	1.85E-02	8.42E-26	-8.26E-01	6.49E-02	7.17E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007647	1.35E-01	positive	0.3333333333333333	0.11347517730496454	1.85E-02	1.35E-25	-8.18E-01	6.46E-02	7.15E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007673	1.29E-01	positive	0.3333333333333333	0.10638297872340426	1.30E-02	1.67E-21	-7.23E-01	6.49E-02	6.70E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007679	1.29E-01	positive	0.13333333333333333	0.1276595744680851	9.58E-01	3.24E-16	5.37E-01	5.86E-02	5.95E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007717	1.29E-01	positive	0.3333333333333333	0.10638297872340426	1.30E-02	3.50E-24	-7.77E-01	6.40E-02	7.00E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007956	1.16E-01	positive	0.13333333333333333	0.11347517730496454	8.27E-01	2.52E-20	6.22E-01	5.81E-02	6.55E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0007963	1.16E-01	positive	0.2	0.10638297872340426	2.86E-01	6.14E-22	6.38E-01	5.64E-02	6.75E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008077	1.16E-01	positive	0.3333333333333333	0.09219858156028368	5.73E-03	1.13E-14	-5.63E-01	6.59E-02	5.69E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008275	1.03E-01	positive	0.3333333333333333	0.07801418439716312	2.06E-03	4.59E-29	8.26E-01	5.92E-02	7.48E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008437	9.68E-02	positive	0.2	0.0851063829787234	1.55E-01	1.77E-22	6.69E-01	5.81E-02	6.81E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008486	9.03E-02	positive	0.13333333333333333	0.09219858156028368	5.41E-01	9.40E-13	-5.00E-01	6.42E-02	5.33E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008674	9.03E-02	positive	0.3333333333333333	0.06382978723404255	5.51E-04	3.11E-11	3.35E-01	4.68E-02	5.01E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/OG0008674.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008769	8.39E-02	positive	0.4666666666666667	0.0425531914893617	1.83E-08	6.79E-15	4.38E-01	5.06E-02	5.73E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008797	8.39E-02	positive	0.2	0.07092198581560284	8.78E-02	3.61E-17	5.05E-01	5.30E-02	6.10E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008846	8.39E-02	positive	0.26666666666666666	0.06382978723404255	7.20E-03	7.93E-16	4.56E-01	5.06E-02	5.89E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/OG0008846.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008903	8.39E-02	positive	0.13333333333333333	0.07801418439716312	4.67E-01	4.91E-22	6.44E-01	5.68E-02	6.76E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0008915	8.39E-02	positive	0.13333333333333333	0.07801418439716312	4.67E-01	6.27E-16	-5.92E-01	6.55E-02	5.90E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0009029	7.74E-02	positive	0.13333333333333333	0.07092198581560284	3.94E-01	5.43E-12	3.79E-01	5.07E-02	5.17E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0009177	7.10E-02	positive	0.13333333333333333	0.06382978723404255	3.22E-01	2.30E-19	-6.05E-01	5.85E-02	6.42E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0009270	7.10E-02	positive	0.13333333333333333	0.06382978723404255	3.22E-01	1.61E-17	-6.20E-01	6.42E-02	6.15E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0009460	6.45E-02	positive	0.13333333333333333	0.05673758865248227	2.54E-01	2.63E-24	7.14E-01	5.86E-02	7.02E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0009535	6.45E-02	positive	0.2	0.04964539007092199	2.46E-02	8.83E-20	6.10E-01	5.81E-02	6.47E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	OG0009925	5.16E-02	positive	0.13333333333333333	0.0425531914893617	1.32E-01	5.86E-30	8.01E-01	5.61E-02	7.56E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	GCF_39	1.35E-01	positive	0.4	0.10638297872340426	1.63E-03	2.00E-09	-3.18E-01	4.98E-02	4.58E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_39.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	GCF_41	1.16E-01	positive	0.13333333333333333	0.11347517730496454	8.27E-01	1.76E-11	3.56E-01	4.89E-02	5.07E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_41.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	GCF_47	9.03E-02	positive	0.4666666666666667	0.04964539007092199	8.77E-08	2.84E-09	-3.66E-01	5.80E-02	4.54E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_47.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_45	GCF_55	7.10E-02	positive	0.26666666666666666	0.04964539007092199	1.90E-03	9.02E-15	4.82E-01	5.60E-02	5.71E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_55.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004234	9.48E-01	negative	0.7777777777777778	0.9844961240310077	1.04E-05	8.42E-09	7.70E-01	1.26E-01	4.42E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004235	9.48E-01	negative	0.9259259259259259	0.9534883720930233	5.62E-01	4.59E-11	-8.24E-01	1.16E-01	4.97E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004442	9.16E-01	negative	0.8518518518518519	0.9224806201550387	1.85E-01	1.11E-09	-8.79E-01	1.35E-01	4.65E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004468	8.97E-01	negative	0.7037037037037037	0.937984496124031	2.85E-04	3.27E-10	-7.85E-01	1.17E-01	4.78E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004520	8.71E-01	negative	0.8148148148148148	0.8837209302325582	3.38E-01	6.96E-12	-9.19E-01	1.24E-01	5.15E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004544	8.58E-01	negative	0.7777777777777778	0.875968992248062	1.88E-01	6.23E-12	-9.02E-01	1.21E-01	5.16E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004655	8.45E-01	positive	0.9259259259259259	0.8294573643410853	2.02E-01	4.54E-12	-9.32E-01	1.24E-01	5.19E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004671	8.45E-01	positive	0.8888888888888888	0.8372093023255814	4.89E-01	1.37E-10	-6.95E-01	1.01E-01	4.87E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004679	8.45E-01	negative	0.7037037037037037	0.875968992248062	2.54E-02	4.51E-17	-7.47E-01	7.87E-02	6.09E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004713	8.39E-01	positive	0.8888888888888888	0.8294573643410853	4.35E-01	5.27E-13	-9.79E-01	1.24E-01	5.38E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004807	8.13E-01	positive	0.8888888888888888	0.7984496124031008	2.65E-01	4.46E-12	-6.41E-01	8.53E-02	5.19E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004815	8.13E-01	positive	0.9259259259259259	0.7906976744186046	9.75E-02	1.61E-09	-7.53E-01	1.17E-01	4.61E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004891	8.00E-01	negative	0.7777777777777778	0.7984496124031008	7.51E-01	8.75E-12	-9.09E-01	1.23E-01	5.13E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004895	8.00E-01	negative	0.7777777777777778	0.7984496124031008	7.51E-01	8.85E-12	-9.09E-01	1.23E-01	5.13E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004898	7.87E-01	positive	0.9259259259259259	0.7596899224806202	5.25E-02	6.74E-14	8.50E-01	1.03E-01	5.55E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004905	7.87E-01	positive	0.9259259259259259	0.7596899224806202	5.25E-02	4.13E-13	8.30E-01	1.05E-01	5.40E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004947	7.81E-01	positive	0.8148148148148148	0.7674418604651163	6.37E-01	2.96E-12	9.57E-01	1.26E-01	5.23E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0004993	7.48E-01	negative	0.6666666666666666	0.7674418604651163	2.82E-01	2.05E-14	-6.36E-01	7.52E-02	5.64E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005098	7.03E-01	positive	0.7777777777777778	0.689922480620155	3.51E-01	6.79E-09	8.20E-01	1.34E-01	4.45E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005187	6.90E-01	negative	0.6666666666666666	0.689922480620155	7.70E-01	5.43E-12	9.38E-01	1.25E-01	5.17E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005188	6.84E-01	positive	0.7407407407407407	0.6744186046511628	4.84E-01	6.41E-16	7.29E-01	8.06E-02	5.90E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005232	6.84E-01	negative	0.5925925925925926	0.6976744186046512	2.62E-01	1.63E-12	-9.11E-01	1.18E-01	5.28E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005240	6.71E-01	positive	0.7037037037037037	0.6666666666666666	6.90E-01	9.39E-11	-6.89E-01	9.90E-02	4.90E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005272	6.65E-01	-	0.6666666666666666	0.6666666666666666	9.79E-01	1.43E-10	-9.14E-01	1.33E-01	4.86E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005375	6.52E-01	negative	0.5925925925925926	0.6589147286821705	4.79E-01	1.69E-11	-8.68E-01	1.19E-01	5.07E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005439	6.13E-01	positive	0.8148148148148148	0.5736434108527132	1.78E-02	2.60E-11	8.47E-01	1.18E-01	5.03E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0005586	5.42E-01	positive	0.5925925925925926	0.5271317829457365	5.61E-01	5.25E-09	-6.76E-01	1.09E-01	4.48E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0006186	2.90E-01	negative	0.2222222222222222	0.3023255813953488	3.91E-01	3.86E-09	7.07E-01	1.13E-01	4.51E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0006199	2.84E-01	positive	0.3333333333333333	0.2713178294573643	5.30E-01	1.27E-15	-7.39E-01	8.28E-02	5.85E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0006617	2.13E-01	positive	0.3333333333333333	0.18604651162790697	9.25E-02	2.97E-11	4.98E-01	6.94E-02	5.02E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0006640	2.06E-01	positive	0.37037037037037035	0.17054263565891473	2.06E-02	7.42E-09	-6.85E-01	1.12E-01	4.44E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0006863	1.81E-01	positive	0.37037037037037035	0.13953488372093023	4.81E-03	5.19E-21	7.51E-01	6.85E-02	6.63E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0007203	1.48E-01	positive	0.2962962962962963	0.11627906976744186	1.74E-02	7.63E-14	6.02E-01	7.32E-02	5.54E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0007556	1.35E-01	positive	0.2962962962962963	0.10077519379844961	7.21E-03	3.71E-10	8.70E-01	1.30E-01	4.76E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0008769	8.39E-02	positive	0.3333333333333333	0.031007751937984496	2.66E-07	5.62E-09	5.23E-01	8.47E-02	4.47E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0008846	8.39E-02	positive	0.2962962962962963	0.03875968992248062	1.18E-05	2.89E-09	5.39E-01	8.55E-02	4.54E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/OG0008846.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0009482	6.45E-02	positive	0.2222222222222222	0.031007751937984496	2.42E-04	2.83E-09	7.82E-01	1.24E-01	4.55E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0009613	5.81E-02	positive	0.25925925925925924	0.023255813953488372	8.69E-07	2.28E-13	9.69E-01	1.20E-01	5.45E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0010038	5.16E-02	positive	0.07407407407407407	0.046511627906976744	5.62E-01	2.55E-09	7.31E-01	1.15E-01	4.56E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_34	OG0010156	5.16E-02	positive	0.2222222222222222	0.015503875968992248	1.04E-05	5.52E-13	9.18E-01	1.16E-01	5.38E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_14	OG0004276	9.42E-01	positive	0.984375	0.75	1.61E-06	4.87E-09	6.68E-01	1.08E-01	4.48E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_14	OG0004353	9.35E-01	positive	0.984375	0.7142857142857143	1.41E-07	3.14E-09	8.40E-01	1.33E-01	4.53E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_14	GCF_13	8.45E-01	positive	0.9453125	0.39285714285714285	2.69E-13	9.71E-09	4.89E-01	8.06E-02	4.40E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_13.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_14	GCF_42	1.10E-01	negative	0.046875	0.39285714285714285	1.17E-07	6.76E-09	-5.72E-01	9.31E-02	4.45E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_42.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_14	GCF_46	9.68E-02	negative	0.0234375	0.42857142857142855	5.36E-11	7.78E-23	-8.52E-01	7.32E-02	6.85E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_46.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_23	OG0004738	8.39E-01	negative	0.5	0.9727272727272728	1.32E-12	3.33E-09	-7.38E-01	1.17E-01	4.53E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_23	OG0004802	8.19E-01	negative	0.43478260869565216	0.9818181818181818	2.04E-16	1.34E-09	-6.00E-01	9.29E-02	4.63E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_63	OG0004384	9.23E-01	negative	0.25	0.9594594594594594	2.69E-13	2.10E-10	-4.72E-01	6.93E-02	4.82E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_63	OG0004408	9.23E-01	negative	0.25	0.9527027027027027	2.69E-13	1.37E-09	-4.98E-01	7.72E-02	4.62E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_63	OG0004441	9.10E-01	negative	0.25	0.9459459459459459	2.32E-11	6.32E-10	-3.61E-01	5.47E-02	4.71E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_63	OG0004444	9.10E-01	negative	0.25	0.9459459459459459	2.32E-11	6.03E-09	-4.10E-01	6.66E-02	4.46E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_54	OG0004444	9.10E-01	negative	0.45454545454545453	0.9448275862068966	4.67E-08	8.71E-09	-3.99E-01	6.55E-02	4.42E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_15	OG0004493	8.84E-01	positive	0.9312977099236641	0.64	3.24E-05	5.43E-13	6.65E-01	8.43E-02	5.38E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_15	OG0009506	6.45E-02	negative	0.061068702290076333	0.08	7.31E-01	6.74E-09	7.60E-01	1.24E-01	4.45E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004331	9.35E-01	negative	0.4666666666666667	0.9858156028368794	7.44E-15	1.91E-09	-6.86E-01	1.07E-01	4.59E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004336	9.35E-01	negative	0.5333333333333333	0.9787234042553191	2.54E-11	1.06E-14	-6.40E-01	7.47E-02	5.69E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004344	9.35E-01	negative	0.4666666666666667	0.9858156028368794	7.44E-15	2.96E-09	-7.23E-01	1.15E-01	4.54E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004359	9.29E-01	negative	0.6	0.9645390070921985	1.77E-07	3.28E-14	-7.50E-01	8.95E-02	5.61E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004364	9.29E-01	negative	0.4	0.9858156028368794	4.61E-17	3.50E-13	-5.91E-01	7.42E-02	5.41E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004368	9.29E-01	negative	0.4	0.9858156028368794	4.61E-17	5.99E-12	-6.49E-01	8.69E-02	5.17E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004384	9.23E-01	negative	0.4	0.9787234042553191	1.61E-15	5.84E-10	-6.35E-01	9.60E-02	4.72E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004389	9.23E-01	negative	0.4	0.9787234042553191	1.61E-15	4.56E-10	-5.03E-01	7.55E-02	4.74E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004395	9.23E-01	negative	0.6666666666666666	0.950354609929078	9.53E-05	5.69E-10	-6.41E-01	9.68E-02	4.72E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004765	8.26E-01	negative	0.6666666666666666	0.8439716312056738	8.73E-02	8.16E-11	-8.78E-01	1.26E-01	4.92E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004770	8.26E-01	negative	0.6666666666666666	0.8439716312056738	8.73E-02	8.16E-11	-8.78E-01	1.26E-01	4.92E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004938	7.74E-01	negative	0.26666666666666666	0.8297872340425532	7.55E-07	3.06E-14	-7.55E-01	9.00E-02	5.61E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0004981	7.55E-01	negative	0.3333333333333333	0.8014184397163121	6.52E-05	7.13E-09	-5.44E-01	8.87E-02	4.44E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	OG0006274	2.71E-01	positive	0.8	0.2127659574468085	1.23E-06	1.04E-09	4.42E-01	6.79E-02	4.66E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	GCF_13	8.45E-01	negative	0.13333333333333333	0.9219858156028369	1.07E-15	9.96E-15	-5.08E-01	5.92E-02	5.70E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_13.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	GCF_14	8.19E-01	negative	0.2	0.8865248226950354	5.36E-11	1.70E-22	-5.47E-01	4.75E-02	6.81E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_14.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	GCF_42	1.10E-01	positive	0.7333333333333333	0.0425531914893617	4.18E-16	6.80E-12	5.28E-01	7.10E-02	5.15E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_42.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	GCF_50	7.74E-02	positive	0.6	0.02127659574468085	1.61E-15	1.17E-11	5.96E-01	8.12E-02	5.10E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_50.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_46	GCF_53	7.10E-02	positive	0.4666666666666667	0.028368794326241134	3.38E-10	3.38E-11	5.70E-01	7.98E-02	5.00E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_53.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_32	GCF_26	2.45E-01	positive	0.7	0.14285714285714285	1.13E-10	9.51E-11	4.19E-01	6.02E-02	4.90E-01		alignment timed out during construction to generate consensus sequence for annotation - full set of protein sequences for the orthogroup can be found at: /workspace/lab/kalanlab/salamzar/lsaBGC/minireview/Strep_albido/lsaBGC-Pan_Results_v1.0.9/lsaBGC_Sociate_Results/Sociated_OG_Protein_Seqs/GCF_26.faa	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_27	OG0005668	5.03E-01	negative	0.05714285714285714	0.628099173553719	1.99E-09	7.00E-20	-5.09E-01	4.83E-02	6.49E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_27	OG0006781	1.87E-01	positive	0.6285714285714286	0.05785123966942149	2.71E-14	7.91E-10	5.41E-01	8.25E-02	4.68E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_27	OG0006801	1.87E-01	positive	0.6285714285714286	0.05785123966942149	2.71E-14	7.91E-10	5.41E-01	8.25E-02	4.68E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_27	OG0007055	1.61E-01	positive	0.5714285714285714	0.04132231404958678	6.49E-14	2.09E-09	5.06E-01	7.95E-02	4.58E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_49	OG0004291	9.42E-01	negative	0.5384615384615384	0.9790209790209791	8.09E-11	3.64E-09	-5.50E-01	8.77E-02	4.52E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_49	OG0004984	7.61E-01	negative	0.23076923076923078	0.8041958041958042	2.76E-06	5.89E-10	-5.12E-01	7.74E-02	4.72E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_47	OG0004211	9.48E-01	negative	0.5714285714285714	0.9859154929577465	2.32E-11	2.45E-17	-8.03E-01	8.37E-02	6.13E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_47	OG0004218	9.48E-01	negative	0.8571428571428571	0.9577464788732394	1.06E-01	3.34E-12	-6.33E-01	8.36E-02	5.22E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_47	OG0004232	9.48E-01	negative	0.5714285714285714	0.9859154929577465	2.32E-11	4.35E-10	6.18E-01	9.26E-02	4.75E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_47	OG0004235	9.48E-01	negative	0.8571428571428571	0.9577464788732394	1.06E-01	3.24E-18	-8.39E-01	8.46E-02	6.26E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_47	OG0004299	9.42E-01	negative	0.5	0.9859154929577465	1.23E-13	1.04E-11	7.18E-01	9.75E-02	5.11E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_47	OG0004322	9.35E-01	negative	0.8571428571428571	0.9436619718309859	2.11E-01	3.00E-12	-6.43E-01	8.48E-02	5.23E-01			NA	NA	NA	NA	NA	NA	NA	NA	NA
